FID,MUN_CD_MUN,MUN_NM_MUN,MUN_UF,MUN_NM_PRE,MUN_SIGLA_,MUN_POPU_2,MUN_ICS,MUN_IFSUTI,MUN_ISCST,MUN_C_GERA,MUN_C_REMA,MUN_EFIC_1,MUN_ICT_FI
0,1100015,Alta Floresta D Oeste,RO,Serviço Autônomo de Água e Esgoto,SAAE,14735,1.424481031,1.846814603,96.728704367,795,786,1.108088762,0
1,1100023,Ariquemes,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,85770,2.01764129369,8.5762822607,89.406076446,4631,4393,5.145769356,0
2,1100031,Cabixi,RO,Prefeitura Municipal de Cabixi,PM,2771,0.37133308578,0.63126624582,98.997400668,149,149,0.378759747,0
3,1100049,Cacoal,RO,Serviço Autônomo de Água e Esgoto de Cacoal,SAAE,67665,0,16.1786792849,28.821320715,3653,1791,50.957207571,55
4,1100056,Cerejeiras,RO,Prefeitura Municipal de Cerejeiras,PM,15276,0.67272348984,19.6892988418,79.637977668,824,727,11.813579305,0
5,1100064,Colorado do Oeste,RO,Prefeitura Municipal de Colorado do Oeste,PM,14097,1.02511532547,4.0418832833,94.933001391,761,742,2.42512997,0
6,1100072,Corumbiara,RO,Prefeitura Municipal de Corumbiara,PM,2665,1.31274131274,6.48648648649,92.200772201,143,138,3.891891892,0
7,1100080,Costa Marques,RO,Prefeitura Municipal de Costa Marques,PM,8689,1.89409096972,8.52340936375,89.582499667,469,445,5.114045618,0
8,1100098,Espigão D Oeste,RO,Prefeitura Municipal de Espigão D Oeste,PM,22741,1.21785541,13.8185346919,84.963609898,1228,1126,8.291120815,0
9,1100106,Guajará-Mirim,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,38676,10.0235748573,14.4459908541,75.530434289,2088,1907,8.667594512,0
10,1100114,Jaru,RO,Prefeitura Municipal de Jaru,PM,37544,1.72276325531,3.38003303149,94.897203713,2027,1986,2.028019819,0
11,1100122,Ji-Paraná,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,115123,4.27912033417,18.6318640447,77.089015621,6216,5521,11.179118427,0
12,1100130,Machadinho D Oeste,RO,Prefeitura Municipal de Machadinho D Oeste,PM,18509,0.78525938292,2.74531626785,96.469424349,999,983,1.647189761,0
13,1100148,Nova Brasilândia D Oeste,RO,Prefeitura Municipal de Nova Brasilândia D Oeste,PM,9035,1.95704057279,6.00238663484,92.040572792,487,470,3.601431981,0
14,1100155,Ouro Preto do Oeste,RO,Prefeitura Municipal de Ouro Preto do Oeste,PM,29793,2.01206529454,7.5443577005,90.443577005,1608,1535,4.52661462,0
15,1100189,Pimenta Bueno,RO,Prefeitura Municipal de Pimenta Bueno,PM,32128,9.46391542305,30.3158037869,60.22028079,1734,1419,18.189482272,0
16,1100205,Porto Velho,RO,Companhia de Águas e Esgotos de Rondônia,CAERD,442218,10.2307713963,35.0710075678,54.698221036,23879,18854,21.042604541,0
17,1100254,Presidente Médici,RO,Prefeitura Municipal de Presidente Médici,PM,13719,1.8416898444,1.30045854319,96.857851612,740,735,0.780275126,0
18,1100262,Rio Crespo,RO,Prefeitura Municipal de Rio Crespo,PM,1176,0,0.46992481203,99.530075188,63,63,0.281954887,0
19,1100288,Rolim de Moura,RO,Prefeitura Municipal de Rolim de Moura,PM,45281,0,16.8312051944,81.590190446,2445,2198,10.098723117,1.57860435927
20,1100296,Santa Luzia D Oeste,RO,Prefeitura Municipal de Santa Luzia D Oeste,PM,4526,2.85082872928,1.10497237569,96.044198895,244,242,0.662983425,0
21,1100304,Vilhena,RO,Serviço Autônomo de Água e Esgoto,SAAE,83140,2.03134952505,12.2144063807,85.754244094,4489,4160,7.328643828,0
22,1100320,São Miguel do Guaporé,RO,Prefeitura Municipal de São Miguel do Guaporé,PM,9184,1.34592680047,2.86894923259,95.785123967,495,487,1.72136954,0
23,1100338,Nova Mamoré,RO,Prefeitura Municipal de Nova Mamoré,PM,15200,0.55100635188,9.16813346598,90.280860182,820,775,5.50088008,0
24,1100346,Alvorada D Oeste,RO,Serviço Autônomo de Água e Esgoto de Alvorada D'Oeste,SAAE,9110,0.108,3.29782411605,6.702175884,491,150,69.39769447,89.892
25,1100379,Alto Alegre dos Parecis,RO,Prefeitura Municipal de Alto Alegre dos Parecis,PM,3945,1.394585726,0.3828274542,98.22258682,213,212,0.229696473,0
26,1100403,Alto Paraíso,RO,Prefeitura Municipal de Alto Paraíso,PM,9314,0.51207022677,12.8627164106,86.625213363,502,464,7.717629846,0
27,1100452,Buritis,RO,Prefeitura Municipal de Buritis,PM,20457,0.52974285399,2.53283302064,96.937424125,1104,1087,1.519699812,0
28,1100502,Novo Horizonte do Oeste,RO,Prefeitura Municipal de Novo Horizonte do Oeste,PM,1780,0.51933064051,1.26947489902,98.21119446,96,95,0.761684939,0
29,1100601,Cacaulândia,RO,Prefeitura Municipal de Cacaulândia,PM,2261,0.57999033349,45.8675688739,53.552440793,122,88,27.520541324,0
30,1100700,Campo Novo de Rondônia,RO,Prefeitura Municipal de Campo Novo de Rondônia,PM,3710,1.18659151587,0.41530703056,98.398101454,200,199,0.249184218,0
31,1100809,Candeias do Jamari,RO,Prefeitura Municipal de Candeias do Jamari,PM,14968,6.1146892217,8.06238845348,85.822922325,808,769,4.837433072,0
32,1100908,Castanheiras,RO,Prefeitura Municipal de Castanheiras,PM,863,0.23923444976,3.46889952153,96.291866029,46,45,2.081339713,0
33,1100924,Chupinguaia,RO,Prefeitura Municipal de Chupinguaia,PM,4252,2.0202020202,0.9282009282,97.051597052,229,228,0.556920557,0
34,1100940,Cujubim,RO,Prefeitura Municipal de Cujubim,PM,13520,0.81499592502,10.1512270216,89.033777053,730,685,6.090736213,0
35,1101005,Governador Jorge Teixeira,RO,Prefeitura Municipal de Governador Jorge Teixeira,PM,2366,1.1012282931,51.7153748412,47.183396866,127,88,31.029224905,0
36,1101104,Itapuã do Oeste,RO,Prefeitura Municipal de Itapuã do Oeste,PM,5890,1.66602834163,0.49789352738,97.836078131,318,317,0.298736116,0
37,1101203,Ministro Andreazza,RO,Prefeitura Municipal de Ministro Andreazza,PM,3236,8.68575146389,5.69290826285,85.621340273,174,168,3.415744958,0
